# Gene expression in TPM - median across runs per condition for study SRP063061
	48h	5 days	Upon arrival	Upon dissection
WBGene00220510	0.0	0.0	0.0	0.0
WBGene00220511	23.7	39.1	14.2	18.6
WBGene00220514	14.1	14.1	13.9	17.7
WBGene00220515	38.7	49.1	16.4	30.5
WBGene00220516	11.0	4.7	2.5	6.4
WBGene00220518	0.0	0.0	0.0	0.0
WBGene00220519	18.2	28.1	27.8	25.8
WBGene00220522	2.9	2.2	1.9	3.1
WBGene00220524	0.0	0.0	0.0	0.0
WBGene00220525	41.3	35.3	49.5	45.9
WBGene00220526	3.4	4.0	3.8	0.0
WBGene00220527	69.6	69.1	93.8	77.0
WBGene00220528	229.2	239.9	193.6	232.1
WBGene00220529	0.0	0.0	0.0	0.0
WBGene00220530	44.2	56.7	37.9	51.3
WBGene00220531	23.2	16.6	16.5	27.9
WBGene00220532	124.1	106.9	138.6	147.8
WBGene00220533	1.0	0.0	0.0	0.0
WBGene00220536	0.0	0.0	0.0	0.0
WBGene00220537	5.4	5.3	2.6	2.9
WBGene00220538	1.0	0.5	0.0	0.0
WBGene00220539	174.6	174.2	183.6	112.4
WBGene00220541	24.3	20.7	39.5	23.2
WBGene00220542	21.0	25.3	43.8	19.2
WBGene00220543	0.0	0.0	0.0	0.0
WBGene00220544	54.0	68.4	60.0	44.3
WBGene00220546	0.0	0.0	0.0	0.0
WBGene00220547	0.0	1.1	0.0	0.8
WBGene00220549	3.9	7.1	4.7	7.8
WBGene00220552	38.2	41.7	43.6	43.5
WBGene00220554	1.8	0.0	2.7	0.0
WBGene00220555	1637.4	2009.7	2018.8	581.3
WBGene00220556	50.6	43.9	47.6	62.6
WBGene00220557	36.7	44.6	55.1	37.0
WBGene00220561	20.6	23.2	34.0	26.9
WBGene00220563	9.9	4.6	12.9	8.2
WBGene00220564	8.1	0.0	1.5	2.9
WBGene00220566	6.2	0.0	3.3	0.0
WBGene00220568	9.1	6.9	7.0	9.7
WBGene00220573	20.2	19.3	18.1	21.9
WBGene00220576	105.4	137.1	108.9	81.7
WBGene00220579	17.5	13.7	21.0	18.4
WBGene00220580	82.7	59.0	71.2	59.2
WBGene00220581	13.6	8.5	17.6	19.1
WBGene00220582	40.1	47.0	42.7	37.9
WBGene00220584	0.9	1.2	1.1	1.0
WBGene00220585	376.2	337.1	290.7	100.5
WBGene00220588	42.4	71.3	31.9	48.0
WBGene00220589	14.8	9.6	18.5	17.3
WBGene00220590	13.6	6.5	6.8	12.3
WBGene00220594	15.3	14.4	8.3	9.2
WBGene00220596	23.6	34.4	28.3	26.5
WBGene00220598	56.9	64.4	13.1	5.4
WBGene00220599	43.2	21.1	40.2	34.4
WBGene00220600	68.9	92.6	95.0	93.0
WBGene00220601	0.0	0.0	0.0	0.0
WBGene00220602	106.2	83.9	153.0	108.4
WBGene00220608	19.0	15.6	15.1	22.1
WBGene00220609	87.0	61.4	56.1	72.3
WBGene00220610	177.0	158.9	126.8	120.7
WBGene00220614	1.8	0.0	1.5	0.0
WBGene00220615	183.1	195.7	202.9	141.1
WBGene00220617	0.0	0.0	0.0	0.0
WBGene00220618	0.0	0.0	0.0	0.0
WBGene00220619	356.6	242.7	115.1	143.7
WBGene00220620	5.2	2.1	1.6	3.5
WBGene00220621	3.4	4.6	3.2	5.1
WBGene00220624	21.4	22.7	9.7	7.5
WBGene00220625	0.0	2.2	1.0	2.0
WBGene00220626	0.0	0.0	0.0	0.0
WBGene00220627	1.4	0.0	4.1	1.1
WBGene00220628	24.8	15.8	17.6	21.1
WBGene00220631	13.7	11.9	4.2	4.9
WBGene00220632	0.0	0.0	0.0	0.0
WBGene00220633	0.0	0.0	0.0	0.0
WBGene00220634	5.6	6.3	6.6	4.9
WBGene00220635	11.6	16.1	10.3	20.0
WBGene00220636	0.0	0.0	0.0	0.0
WBGene00220637	71.8	54.1	91.9	85.3
WBGene00220638	0.0	0.0	0.0	0.0
WBGene00220641	0.0	0.0	0.0	0.0
WBGene00220643	497.5	562.2	443.8	322.5
WBGene00220644	0.0	3.3	3.2	2.0
WBGene00220645	32.2	24.4	32.7	49.5
WBGene00220646	21.0	31.7	37.6	32.8
WBGene00220649	3.0	0.0	0.9	1.7
WBGene00220652	48.4	55.7	48.1	42.2
WBGene00220654	23.7	17.0	16.8	12.3
WBGene00220655	28.7	17.4	16.3	37.6
WBGene00220658	0.0	0.0	0.0	0.0
WBGene00220659	19.8	18.5	26.8	37.2
WBGene00220660	18.4	18.5	18.0	25.9
WBGene00220661	9.3	10.1	13.9	16.8
WBGene00220664	331.2	254.7	251.6	295.5
WBGene00220665	3.7	2.3	3.4	3.3
WBGene00220666	48.3	73.0	95.4	77.1
WBGene00220668	39.2	42.3	37.2	29.2
WBGene00220669	1541.2	1897.0	2006.7	1806.9
WBGene00220671	1.6	2.6	3.0	0.6
WBGene00220672	39.5	43.8	59.1	53.9
WBGene00220673	1.6	1.0	3.3	1.3
WBGene00220675	14.8	9.9	14.3	15.7
WBGene00220676	13.5	20.0	20.3	44.2
WBGene00220678	54.0	40.8	36.3	54.6
WBGene00220679	46.5	44.9	63.1	56.0
WBGene00220681	4.6	0.0	8.8	8.1
WBGene00220682	17.6	10.9	18.5	17.7
WBGene00220683	8.2	14.6	30.9	3.0
WBGene00220684	0.0	0.0	0.0	0.0
WBGene00220685	158.6	129.3	133.7	128.4
WBGene00220688	1049.9	1097.1	905.6	913.4
WBGene00220694	1.3	1.6	1.8	2.0
WBGene00220695	31.8	36.8	42.6	29.3
WBGene00220696	158.1	211.2	200.0	153.0
WBGene00220698	0.0	0.5	1.1	0.0
WBGene00220702	17.4	13.9	14.4	9.7
WBGene00220704	90.8	88.7	92.2	107.0
WBGene00220706	600.5	611.8	563.9	530.2
WBGene00220707	3599.2	3860.6	4603.8	2635.9
WBGene00220711	17.0	18.7	38.4	27.2
WBGene00220712	241.8	217.6	110.6	188.2
WBGene00220713	47.6	50.3	65.1	47.1
WBGene00220714	0.0	0.0	1.1	0.0
WBGene00220716	15.6	16.0	14.1	14.1
WBGene00220718	1.5	3.4	8.6	3.4
WBGene00220719	0.0	0.0	0.0	0.0
WBGene00220720	0.0	4.1	5.1	0.0
WBGene00220721	0.0	0.0	0.0	0.0
WBGene00220722	3.6	4.4	2.3	1.4
WBGene00220735	82.9	111.9	171.0	142.3
WBGene00220736	69.1	52.3	71.5	77.2
WBGene00220737	54.6	33.8	42.1	58.1
WBGene00220738	0.0	0.0	0.8	0.0
WBGene00220740	179.8	201.2	150.0	130.7
WBGene00220742	81.2	78.4	110.5	78.2
WBGene00220743	35.0	20.9	25.5	32.3
WBGene00220744	113.5	73.2	50.1	61.9
WBGene00220745	164.3	173.5	188.4	233.9
WBGene00220746	235.0	196.7	228.3	236.6
WBGene00220748	7.4	6.3	3.7	5.0
WBGene00220749	3.6	2.4	1.2	2.4
WBGene00220750	17.2	18.7	15.3	9.8
WBGene00220751	0.0	0.0	0.0	2.5
WBGene00220752	2.4	0.0	1.8	0.0
WBGene00220753	85.4	69.3	105.1	89.9
WBGene00220756	38.6	36.7	35.6	40.3
WBGene00220757	450.1	414.2	391.1	368.4
WBGene00220759	0.0	0.0	0.0	0.0
WBGene00220761	50.1	35.8	49.3	77.3
WBGene00220762	67.6	62.6	108.5	93.7
WBGene00220763	0.8	0.7	0.0	0.6
WBGene00220767	0.0	0.0	0.0	0.0
WBGene00220768	171.2	159.7	186.7	217.4
WBGene00220770	19.7	14.4	26.3	19.0
WBGene00220775	0.0	0.0	0.0	0.0
WBGene00220777	0.0	1.3	2.6	0.0
WBGene00220780	0.0	0.0	0.0	0.0
WBGene00220783	11.0	11.1	8.2	7.1
WBGene00220787	134.7	147.6	84.4	122.6
WBGene00220789	16.0	17.6	16.2	14.2
WBGene00220791	221.1	243.6	169.2	207.6
WBGene00220794	42.1	49.9	40.8	54.7
WBGene00220797	2.6	2.2	2.8	3.9
WBGene00220798	0.0	0.0	0.0	0.0
WBGene00220799	11.5	5.8	6.0	11.5
WBGene00220801	8.0	9.9	21.1	11.3
WBGene00220802	91.3	101.7	66.9	59.0
WBGene00220805	44.5	9.6	15.0	10.7
WBGene00220806	107.7	126.5	82.8	78.5
WBGene00220807	3.1	3.1	4.6	4.1
WBGene00220808	0.0	0.0	0.0	0.0
WBGene00220809	0.0	0.0	0.6	0.0
WBGene00220812	8.5	11.4	5.7	2.3
WBGene00220817	14.4	11.1	10.2	22.3
WBGene00220819	1.1	0.0	0.0	0.0
WBGene00220820	4.9	3.0	2.4	1.6
WBGene00220823	8.0	5.6	7.9	7.2
WBGene00220825	0.0	0.0	0.0	0.0
WBGene00220828	89.6	90.5	83.6	91.8
WBGene00220829	89.7	65.0	56.9	65.3
WBGene00220831	2.8	3.3	1.2	0.0
WBGene00220834	41.8	33.3	51.8	54.0
WBGene00220835	117.3	99.6	114.6	110.5
WBGene00220836	219.9	207.3	197.1	209.9
WBGene00220839	70.0	58.6	92.1	46.6
WBGene00220840	15.7	6.6	9.4	8.2
WBGene00220844	20.1	21.4	13.8	12.7
WBGene00220845	35.5	30.2	47.7	32.4
WBGene00220846	159.8	163.7	211.1	182.4
WBGene00220849	74.2	88.3	86.2	74.7
WBGene00220851	0.0	0.0	0.0	0.0
WBGene00220853	11.1	8.5	5.8	8.4
WBGene00220854	0.0	0.0	0.0	0.0
WBGene00220855	27.4	28.1	27.7	43.7
WBGene00220860	0.5	0.0	0.1	0.0
WBGene00220862	2.9	6.8	6.2	3.2
WBGene00220865	70.8	75.9	61.2	76.1
WBGene00220866	21.4	20.4	19.6	18.5
WBGene00220867	34.9	21.7	29.6	19.3
WBGene00220870	2.9	1.8	0.9	1.7
WBGene00220873	35.0	27.7	12.6	18.0
WBGene00220875	0.0	0.0	1.2	1.1
WBGene00220877	62.2	69.2	72.5	75.3
WBGene00220878	0.0	0.0	0.0	0.0
WBGene00220879	3.6	3.4	3.9	1.9
WBGene00220880	21.8	14.4	13.0	16.1
WBGene00220881	148.9	148.5	187.1	153.5
WBGene00220882	72.6	70.7	71.4	61.2
WBGene00220884	0.0	0.0	4.9	0.0
WBGene00220885	12.6	15.7	17.1	9.9
WBGene00220886	0.0	0.0	0.0	2.8
WBGene00220887	3.5	1.1	2.0	1.7
WBGene00220889	0.0	1.3	0.0	1.9
WBGene00220890	25.6	18.9	11.9	16.3
WBGene00220891	84.2	58.7	36.2	44.4
WBGene00220893	4.5	3.6	0.0	0.0
WBGene00220896	15.5	16.5	11.3	13.6
WBGene00220897	290.7	296.9	339.1	338.8
WBGene00220898	101.7	119.0	86.2	82.1
WBGene00220909	2.2	4.6	3.8	0.0
WBGene00220914	8.3	8.0	5.6	5.7
WBGene00220915	0.0	0.0	0.0	0.0
WBGene00220920	1.5	3.2	4.5	4.3
WBGene00220921	191.2	170.8	150.6	154.0
WBGene00220922	25.2	36.4	51.4	31.4
WBGene00220925	23.8	24.6	16.7	19.5
WBGene00220928	24.5	26.8	30.8	30.9
WBGene00220929	46.6	54.3	61.4	15.7
WBGene00220930	0.0	0.0	0.0	0.0
WBGene00220935	4.0	3.9	2.4	3.1
WBGene00220936	58.0	34.3	39.1	31.2
WBGene00220939	1345.4	704.3	549.8	28.2
WBGene00220943	169.2	132.2	143.5	110.6
WBGene00220944	11.8	13.0	32.7	30.3
WBGene00220949	3.3	5.3	2.8	2.2
WBGene00220953	0.0	0.0	0.0	0.0
WBGene00220954	150.8	161.7	179.5	128.2
WBGene00220955	5.3	3.1	9.0	14.6
WBGene00220956	24.0	27.4	30.8	24.9
WBGene00220960	14.9	6.1	5.1	11.1
WBGene00220961	76.8	58.7	85.0	74.8
WBGene00220970	17.5	15.9	16.8	10.9
WBGene00220975	98.7	112.9	106.6	90.2
WBGene00220980	95.4	97.4	88.5	71.6
WBGene00220981	2.8	2.0	2.6	2.2
WBGene00220982	15.4	13.2	6.0	8.5
WBGene00220985	40.9	29.1	41.0	36.1
WBGene00220986	20.1	25.9	26.9	36.6
WBGene00220989	33.4	27.1	38.7	35.3
WBGene00220990	38.7	36.6	40.4	57.4
WBGene00220992	9.8	13.6	19.5	15.8
WBGene00220996	79.6	121.7	77.4	124.0
WBGene00221002	2.2	1.9	1.9	2.3
WBGene00221009	28.9	18.6	18.3	19.9
WBGene00221010	0.0	0.0	0.0	0.0
WBGene00221016	10.7	7.3	8.3	15.4
WBGene00221019	0.0	0.0	0.0	0.0
WBGene00221054	15.1	11.1	8.2	15.2
WBGene00221056	3.2	3.3	7.9	1.4
WBGene00221057	0.5	2.7	2.4	4.5
WBGene00221059	6.7	7.4	5.8	7.0
WBGene00221073	3.4	1.8	3.5	2.3
WBGene00221076	23.3	8.8	16.0	11.6
WBGene00221077	262.5	397.9	159.3	55.3
WBGene00221078	16.5	5.7	9.3	19.6
WBGene00221079	12.2	6.2	12.8	21.5
WBGene00221080	26.6	17.4	16.2	23.5
WBGene00221083	34.6	37.4	26.3	48.6
WBGene00221085	0.0	0.0	0.0	0.0
WBGene00221086	0.0	0.0	0.0	0.0
WBGene00221089	8.6	9.3	5.4	6.8
WBGene00221090	494.0	719.3	584.0	486.6
WBGene00221093	0.0	0.0	0.0	0.0
WBGene00221094	34.8	26.7	5.9	20.7
WBGene00221095	0.8	0.0	0.0	0.0
WBGene00221097	4.2	3.5	10.2	4.3
WBGene00221102	0.0	0.0	0.0	0.0
WBGene00221103	0.0	0.0	0.0	0.0
WBGene00221112	65.3	82.7	64.1	43.8
WBGene00221113	0.0	0.0	0.0	0.0
WBGene00221117	90.5	162.5	307.8	366.0
WBGene00221119	7.4	2.9	0.0	0.0
WBGene00221120	19.5	14.3	8.7	15.5
WBGene00221121	1.6	3.5	6.1	0.0
WBGene00221122	0.0	0.0	0.0	0.0
WBGene00221125	3.0	3.2	2.1	2.9
WBGene00221134	0.0	0.0	1.4	0.0
WBGene00221135	50.8	33.3	45.2	39.3
WBGene00221137	8.9	20.6	9.4	4.2
WBGene00221138	29.6	19.8	26.4	32.1
WBGene00221140	77.6	73.0	67.9	67.1
WBGene00221144	19.7	18.4	19.4	19.8
WBGene00221146	15.9	17.7	20.3	14.5
WBGene00221153	97.5	100.5	96.2	82.4
WBGene00221154	0.0	0.0	1.2	0.7
WBGene00221155	0.0	0.0	0.0	0.0
WBGene00221162	0.0	0.0	0.0	0.0
WBGene00221169	13.1	6.8	7.8	8.5
WBGene00221170	0.0	0.0	0.0	0.0
WBGene00221199	8.9	3.3	7.3	9.0
WBGene00221200	0.0	0.0	0.0	0.0
WBGene00221205	2.3	1.4	1.4	2.0
WBGene00221208	0.0	0.0	0.0	0.0
WBGene00221211	532.7	590.4	324.4	278.3
WBGene00221212	12.1	9.2	9.0	17.7
WBGene00221217	27.7	23.3	26.6	31.9
WBGene00221226	24.0	26.6	29.9	26.0
WBGene00221231	32.1	34.4	12.7	20.3
WBGene00221235	23.8	40.6	47.8	46.5
WBGene00221236	42.0	24.8	33.7	42.6
WBGene00221239	0.0	0.0	0.0	0.0
WBGene00221241	24.7	24.8	28.9	33.5
WBGene00221242	0.0	0.0	0.0	0.0
WBGene00221255	4.4	1.6	1.2	4.0
WBGene00221258	0.0	2.7	1.0	6.5
WBGene00221265	6.8	0.0	7.8	10.4
WBGene00221266	61.1	44.1	31.9	40.9
WBGene00221267	93.4	70.9	72.7	73.9
WBGene00221268	35.8	22.8	23.1	60.6
WBGene00221269	28.0	22.7	32.5	36.4
WBGene00221272	2.6	5.0	5.4	4.3
WBGene00221274	253.0	246.2	218.6	202.4
WBGene00221276	5.7	4.6	12.1	5.8
WBGene00221277	78.9	56.4	43.0	44.7
WBGene00221278	63.0	61.3	45.3	55.7
WBGene00221282	39.1	28.7	33.9	26.2
WBGene00221284	75.2	30.9	453.4	387.0
WBGene00221285	22.3	16.4	15.1	21.4
WBGene00221286	10.1	9.0	8.8	12.6
WBGene00221287	24.4	11.7	6.0	10.9
WBGene00221288	16.9	10.0	14.7	11.9
WBGene00221289	4.2	2.5	4.1	7.0
WBGene00221290	2.0	2.2	0.0	0.7
WBGene00221291	278.0	327.2	215.3	286.2
WBGene00221293	193.9	138.2	96.2	110.1
WBGene00221295	132.3	88.6	81.9	98.5
WBGene00221296	181.0	188.8	134.8	131.6
WBGene00221297	67.2	89.7	75.8	45.3
WBGene00221303	53.1	52.8	44.6	65.5
WBGene00221304	194.4	192.7	121.3	211.4
WBGene00221305	8.9	11.2	5.0	9.5
WBGene00221306	24.6	27.5	16.2	18.0
WBGene00221307	1.9	2.7	3.5	5.1
WBGene00221310	91.1	107.3	131.9	125.4
WBGene00221311	26.8	21.2	24.4	28.2
WBGene00221312	28.2	21.8	29.3	63.5
WBGene00221317	33.0	30.4	21.1	17.2
WBGene00221319	0.0	0.0	0.0	0.0
WBGene00221322	733.8	933.2	916.5	747.9
WBGene00221323	33.5	46.8	13.3	16.9
WBGene00221324	9.0	10.1	15.4	10.5
WBGene00221325	48.4	39.4	45.6	14.5
WBGene00221328	7.5	10.1	10.3	13.5
WBGene00221329	0.0	0.0	0.0	0.0
WBGene00221332	0.0	0.0	0.0	0.0
WBGene00221333	49.2	50.0	34.4	29.0
WBGene00221334	0.0	0.0	0.0	0.0
WBGene00221335	7.1	5.5	6.5	3.7
WBGene00221336	0.0	0.0	0.0	0.0
WBGene00221337	0.0	0.0	0.0	0.0
WBGene00221338	1.9	1.6	1.1	2.0
WBGene00221339	0.0	0.0	0.0	0.0
WBGene00221342	0.0	0.0	0.0	0.0
WBGene00221344	7.6	7.4	6.0	5.1
WBGene00221347	0.0	0.0	0.0	0.0
WBGene00221348	0.0	0.0	1.4	0.0
WBGene00221349	9.2	18.4	11.0	9.7
WBGene00221350	0.0	0.0	0.0	0.0
WBGene00221353	0.0	0.0	0.7	0.0
WBGene00221354	8.3	11.9	10.0	16.4
WBGene00221355	0.0	0.0	0.0	0.0
WBGene00221358	259.2	251.3	321.8	280.9
WBGene00221359	14.6	12.4	16.3	13.8
WBGene00221360	0.0	6.9	4.6	0.0
WBGene00221361	2.7	2.9	3.9	2.7
WBGene00221362	0.0	0.0	0.0	0.0
WBGene00221363	0.0	0.0	0.0	0.0
WBGene00221364	0.0	0.0	0.0	0.0
WBGene00221366	0.0	0.0	0.0	0.0
WBGene00221367	1.4	0.3	0.9	0.6
WBGene00221368	19.3	18.0	14.5	15.4
WBGene00221370	1.3	0.0	3.5	1.9
WBGene00221371	32.9	26.2	28.1	37.1
WBGene00221373	0.0	0.0	0.0	0.0
WBGene00221374	0.0	0.0	0.7	0.9
WBGene00221375	2.3	1.3	3.1	3.5
WBGene00221376	1.0	1.0	1.7	0.0
WBGene00221378	39.8	43.3	14.8	39.4
WBGene00221381	0.5	3.2	1.3	1.1
WBGene00221383	0.0	0.0	0.0	0.0
WBGene00221385	2.0	1.7	6.5	2.1
WBGene00221386	0.0	0.0	0.0	0.0
WBGene00221388	0.9	0.5	0.0	0.0
WBGene00221389	149.2	133.1	130.2	126.0
WBGene00221391	12.8	11.3	18.6	8.1
WBGene00221394	11.9	14.5	10.3	3.1
WBGene00221395	9.3	0.0	37.0	15.0
WBGene00221399	0.0	3.8	2.2	0.0
WBGene00221400	12.1	10.4	8.2	12.5
WBGene00221404	0.0	0.0	0.0	0.0
WBGene00221405	14.1	10.0	6.9	9.0
WBGene00221406	0.0	0.0	0.0	0.0
WBGene00221407	0.0	0.0	0.5	1.4
WBGene00221408	0.0	4.8	1.2	2.7
WBGene00221409	0.0	1.7	0.4	0.0
WBGene00221410	5.1	0.0	3.0	6.7
WBGene00221411	0.0	0.0	0.0	0.0
WBGene00221412	2.7	1.5	1.7	0.7
WBGene00221414	1.8	1.0	0.9	0.0
WBGene00221415	0.0	3.1	2.5	0.0
WBGene00221416	0.0	0.0	0.0	0.0
WBGene00221421	8.8	6.2	8.7	11.2
WBGene00221422	0.0	0.0	0.0	0.0
WBGene00221424	1.0	0.0	0.0	0.9
WBGene00221425	0.0	0.0	0.0	0.0
WBGene00221426	0.0	1.3	0.0	0.0
WBGene00221427	1.5	1.4	2.1	1.6
WBGene00221429	1.5	0.0	0.0	0.0
WBGene00221430	0.0	0.0	0.0	0.0
WBGene00221431	3.4	6.1	4.4	2.5
WBGene00221433	0.0	0.0	0.0	0.0
WBGene00221435	0.0	0.0	0.0	0.0
WBGene00221437	2.7	3.4	0.0	0.0
WBGene00221438	47.2	64.5	64.6	65.6
WBGene00221439	3.4	2.1	1.7	2.8
WBGene00221441	0.0	0.8	0.0	3.1
WBGene00221442	5.5	2.6	2.5	3.0
WBGene00221443	32.1	22.0	30.9	26.4
WBGene00221445	0.0	0.0	0.0	0.0
WBGene00221446	0.0	0.0	0.0	0.0
WBGene00221448	3.7	3.4	7.5	6.1
WBGene00221451	0.0	0.0	0.0	0.0
WBGene00221453	0.7	0.0	0.0	0.0
WBGene00221454	80.0	94.7	81.3	53.7
WBGene00221455	0.0	0.0	0.0	0.0
WBGene00221457	0.0	0.0	1.6	0.0
WBGene00221460	0.0	0.0	0.0	0.0
WBGene00221462	20.9	19.5	15.8	26.3
WBGene00221463	20.2	18.2	20.9	9.2
WBGene00221464	15.9	15.5	6.9	18.3
WBGene00221465	3.0	0.3	1.2	0.5
WBGene00221466	0.0	0.0	0.0	0.0
WBGene00221468	3.7	2.8	2.2	4.2
WBGene00221469	5.8	6.0	5.9	5.4
WBGene00221470	0.0	0.0	0.0	0.0
WBGene00221475	2.4	2.2	15.3	2.0
WBGene00221476	0.0	0.0	5.2	3.4
WBGene00221480	1.6	4.1	1.5	1.1
WBGene00221483	0.0	0.0	0.0	0.0
WBGene00221485	2.6	0.0	2.9	0.0
WBGene00221489	0.0	0.0	0.0	0.0
WBGene00221490	39.6	44.1	35.3	55.8
WBGene00221492	0.0	0.0	0.0	0.0
WBGene00221495	0.0	0.0	0.0	0.0
WBGene00221496	3.0	2.2	5.2	4.7
WBGene00221498	3.6	0.0	0.0	0.0
WBGene00221500	0.0	0.0	0.0	0.0
WBGene00221501	0.0	0.0	0.0	0.0
WBGene00221503	188.7	199.7	228.8	163.0
WBGene00221504	3.1	12.9	7.6	10.3
WBGene00221507	2.0	0.0	0.0	1.8
WBGene00221508	0.0	0.0	0.0	0.0
WBGene00221509	0.0	0.0	0.0	0.0
WBGene00221512	17.6	21.0	10.8	14.1
WBGene00221521	0.0	0.0	4.9	4.1
WBGene00221523	176.1	138.1	140.2	179.1
WBGene00221525	0.0	0.0	1.4	0.0
WBGene00221527	53.0	30.1	36.4	40.2
WBGene00221529	14.2	15.9	10.0	14.1
WBGene00221531	2.9	1.0	3.3	1.9
WBGene00221533	9.7	6.7	12.1	9.7
WBGene00221540	0.0	0.0	1.0	1.8
WBGene00221543	50.1	58.2	29.0	58.2
WBGene00221545	0.0	0.0	6.5	0.0
WBGene00221550	0.0	0.0	0.0	0.0
WBGene00221552	2.4	2.6	1.3	2.1
WBGene00221554	0.0	0.0	0.0	0.0
WBGene00221555	1.0	0.5	0.5	0.0
WBGene00221556	0.0	0.5	1.2	1.3
WBGene00221558	1.5	3.7	1.9	5.3
WBGene00221559	9.4	13.3	7.0	5.2
WBGene00221563	2.5	2.0	1.6	4.6
WBGene00221564	0.0	0.0	0.0	0.0
WBGene00221566	162.3	138.8	218.2	155.8
WBGene00221568	0.0	0.0	1.6	0.0
WBGene00221569	1.9	1.7	2.3	2.0
WBGene00221571	4.5	10.6	4.5	4.6
WBGene00221572	0.9	3.2	17.0	0.0
