Run	Condition	developmental_stage	genotype	organism_part	source_name	title	molecule_subtype
SRR10573454	SRR10573454	gravid adults (68-70h, 20 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 20C	prg-1(n4357) Mutant Gravid Adults mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573455	SRR10573455	gravid adults (54h, 25 C)	N2	whole organism	Wild Type Gravid Adults mRNA 25C	Wild Type Gravid Adults mRNA 25C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573456	SRR10573456	gravid adults (54h, 25 C)	N2	whole organism	Wild Type Gravid Adults mRNA 25C	Wild Type Gravid Adults mRNA 25C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573457	SRR10573457	gravid adults (54h, 25 C)	N2	whole organism	Wild Type Gravid Adults mRNA 25C	Wild Type Gravid Adults mRNA 25C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573458	SRR10573458	gravid adults (54h, 25 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 25C	mut-16(pk710) Mutant Gravid Adults mRNA 25C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573459	SRR10573459	gravid adults (54h, 25 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 25C	mut-16(pk710) Mutant Gravid Adults mRNA 25C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573460	SRR10573460	gravid adults (54h, 25 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 25C	mut-16(pk710) Mutant Gravid Adults mRNA 25C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573461	SRR10573461	gravid adults (54h, 25 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 25C	prg-1(n4357) Mutant Gravid Adults mRNA 25C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573462	SRR10573462	gravid adults (54h, 25 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 25C	prg-1(n4357) Mutant Gravid Adults mRNA 25C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573463	SRR10573463	gravid adults (54h, 25 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 25C	prg-1(n4357) Mutant Gravid Adults mRNA 25C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
