Run	Condition	developmental_stage	sample_name	strain	treatment	description_title	organism_part	sex
SRR8711823	N2_52hr_1	52hrs	N2_52hr_1	N2	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711826	N2_52hr_2	52hrs	N2_52hr_2	N2	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711825	N2_52hr_3	52hrs	N2_52hr_3	N2	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711816	N2_60hr_1	60hrs	N2_60hr_1	N2	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711815	N2_60hr_2	60hrs	N2_60hr_2	N2	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711808	N2_60hr_3	60hrs	N2_60hr_3	N2	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711828	N2_ctrl_1	L4	N2_ctrl_1	N2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711827	N2_ctrl_2	L4	N2_ctrl_2	N2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711834	N2_ctrl_3	L4	N2_ctrl_3	N2	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711809	NARLi_52hr_1	52hrs	NARLi_52hr_1	PTM416	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711810	NARLi_52hr_2	52hrs	NARLi_52hr_2	PTM416	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711811	NARLi_52hr_3	52hrs	NARLi_52hr_3	PTM416	normal growth for 52hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711812	NARLi_60hr_1	60hrs	NARLi_60hr_1	PTM416	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711813	NARLi_60hr_2	60hrs	NARLi_60hr_2	PTM416	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711814	NARLi_60hr_3	60hrs	NARLi_60hr_3	PTM416	normal growth for 60hrs	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711795	PTM66_1	young adult	PTM66_1	PTM66	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711794	PTM66_2	young adult	PTM66_2	PTM66	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711797	PTM66_3	young adult	PTM66_3	PTM66	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711796	PTM88_1	young adult	PTM88_1	PTM88	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711830	PTM88_2	young adult	PTM88_2	PTM88	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711829	PTM88_3	young adult	PTM88_3	PTM88	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711803	fdel_2hrHS_1	L4	fdel_2hrHS_1	PTM512	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711806	fdel_2hrHS_2	L4	fdel_2hrHS_2	PTM512	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711807	fdel_2hrHS_3	L4	fdel_2hrHS_3	PTM512	2 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711820	fdel_2hrHS_R_1	L4	fdel_2hrHS_R_1	PTM512	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711819	fdel_2hrHS_R_2	L4	fdel_2hrHS_R_2	PTM512	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711792	fdel_2hrHS_R_3	L4	fdel_2hrHS_R_3	PTM512	2 hours heatshock and recovery	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711818	fdel_4hrHS_2	L4	fdel_4hrHS_2	PTM512	4 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711824	fdel_4hrHS_3	L4	fdel_4hrHS_3	PTM512	4 hours heatshock	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711804	fdel_ctrl_1	L4	fdel_ctrl_1	PTM512	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711805	fdel_ctrl_2	L4	fdel_ctrl_2	PTM512	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
SRR8711802	fdel_ctrl_3	L4	fdel_ctrl_3	PTM512	normal growth	Model organism or animal sample from Caenorhabditis elegans	whole organism	hermaphrodite
