# Gene expression in TPM - median across runs per condition for study SRP066611
# !Ivermectin 1 uM, 5 d: Low replicates (2)
	0h	48 h	5 d	Ivermectin 1 uM, 48 h	!Ivermectin 1 uM, 5 d	Ivermectin 300 nM, 48 h	Ivermectin 300 nM, 5 d
WBGene00226193	0.0	0.0	0.0	0.0	3.8	0.0	0.0
WBGene00226194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226195	11.2	18.0	14.9	13.3	5.0	3.0	11.7
WBGene00226196	21.4	21.5	23.2	22.5	24.4	26.7	28.0
WBGene00226198	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226199	59.1	63.5	58.9	54.5	69.2	69.2	59.6
WBGene00226200	99.6	73.8	79.9	95.7	60.9	73.7	102.9
WBGene00226201	202.0	211.1	209.1	163.0	237.2	178.3	235.1
WBGene00226202	120.6	106.7	91.8	95.1	92.4	94.7	96.6
WBGene00226203	42.6	30.4	32.1	33.5	17.0	21.9	26.8
WBGene00226204	11.9	14.4	12.2	13.6	0.0	11.9	6.0
WBGene00226205	40.9	73.8	89.9	62.3	85.4	112.7	107.2
WBGene00226206	131.1	109.1	97.0	97.3	73.7	92.4	73.9
WBGene00226207	20.2	25.8	29.4	20.4	22.2	21.4	23.7
WBGene00226208	54.2	99.2	100.4	82.9	62.3	110.5	73.2
WBGene00226209	73.3	96.2	80.4	70.5	55.5	71.3	81.2
WBGene00226211	8.6	12.2	14.1	5.4	6.8	5.6	8.1
WBGene00226212	2.2	3.9	4.0	2.0	0.9	2.2	3.9
WBGene00226213	38.7	43.5	37.3	36.0	33.2	49.4	42.5
WBGene00226214	0.0	0.7	0.6	0.7	0.3	0.5	2.2
WBGene00226215	37.2	31.7	32.1	15.1	16.3	11.3	21.1
WBGene00226216	253.0	241.1	222.1	218.5	236.8	252.3	238.0
WBGene00226217	2.3	4.2	0.0	3.2	4.2	3.6	5.9
WBGene00226218	298.0	273.1	233.2	228.9	210.5	199.7	191.5
WBGene00226219	50.7	44.5	35.6	38.7	36.0	33.2	45.9
WBGene00226220	0.8	3.3	0.0	0.0	0.0	0.0	0.0
WBGene00226221	1.8	4.3	3.3	2.7	1.9	3.2	1.9
WBGene00226222	40.6	42.8	36.6	36.6	30.3	38.4	32.0
WBGene00226223	121.0	96.6	78.0	87.5	46.3	63.8	70.5
WBGene00226224	29.1	9.9	27.2	27.6	16.3	29.7	29.9
WBGene00226225	31.6	43.1	31.7	40.8	36.1	22.7	38.1
WBGene00226226	50.6	29.0	32.9	29.6	31.7	43.8	35.9
WBGene00226227	383.1	307.5	252.4	269.3	213.8	229.0	212.8
WBGene00226228	17.9	20.2	21.6	15.1	19.6	19.4	13.2
WBGene00226229	43.0	46.9	37.2	32.0	35.4	31.6	39.8
WBGene00226230	128.5	151.7	94.9	136.0	124.9	129.7	89.8
WBGene00226231	20.8	28.0	25.0	29.7	16.3	18.1	26.5
WBGene00226232	10.4	7.1	6.5	11.8	12.1	11.3	13.3
WBGene00226233	133.7	168.4	167.5	117.8	177.9	157.0	175.8
WBGene00226234	78.2	67.4	59.5	77.7	54.7	79.2	56.4
WBGene00226235	202.6	185.2	152.2	169.8	130.2	163.8	137.3
WBGene00226236	30.3	31.4	23.1	29.4	14.7	25.0	21.2
WBGene00226237	53.6	51.5	50.7	28.5	18.8	39.4	48.3
WBGene00226238	64.4	63.4	50.5	46.8	49.1	41.6	50.2
WBGene00226239	8.6	7.2	7.5	12.0	7.7	6.7	13.1
WBGene00226241	329.6	281.0	294.8	252.2	241.9	304.3	255.1
WBGene00226242	8.2	5.4	6.2	11.7	3.2	8.7	5.7
WBGene00226243	33.6	43.1	31.2	28.0	32.4	30.0	30.9
WBGene00226244	18.3	22.3	12.1	10.0	11.1	8.0	14.3
WBGene00226245	24.3	23.9	21.5	23.1	13.9	15.2	17.6
WBGene00226246	14.6	21.7	11.1	20.8	7.9	4.9	12.1
WBGene00226247	96.0	74.5	72.2	61.2	67.5	77.8	71.1
WBGene00226249	49.7	40.7	36.9	38.7	35.1	29.2	29.4
WBGene00226250	38.7	41.0	24.5	25.5	21.5	20.5	28.9
WBGene00226251	54.5	80.4	58.0	48.6	69.7	61.8	86.7
WBGene00226252	92.3	90.2	64.2	89.8	72.9	85.2	73.4
WBGene00226253	44.2	54.5	40.2	35.3	33.8	40.1	53.2
WBGene00226254	88.1	86.7	75.9	82.6	75.4	95.7	69.3
WBGene00226255	67.9	98.1	91.4	49.4	103.3	133.1	79.2
WBGene00226256	69.4	56.4	64.3	57.1	62.8	52.8	72.6
WBGene00226257	300.3	417.5	352.4	468.2	322.6	453.1	330.5
WBGene00226258	99.0	77.4	69.6	66.2	77.0	73.5	75.1
WBGene00226259	28.1	24.7	22.2	19.5	24.2	29.4	16.6
WBGene00226260	13.4	18.4	25.3	20.4	23.7	18.2	21.9
WBGene00226261	6.2	2.5	8.1	11.4	8.6	5.9	5.2
WBGene00226262	90.6	59.6	70.1	64.5	58.5	53.2	51.6
WBGene00226263	60.2	63.3	44.1	33.0	42.2	52.8	29.9
WBGene00226264	12.8	20.4	18.5	20.2	19.7	11.7	28.0
WBGene00226265	144.4	124.6	102.7	117.0	91.3	97.3	91.4
WBGene00226266	39.7	37.6	17.5	31.8	20.8	27.2	24.0
WBGene00226267	28.3	24.0	19.0	20.7	11.8	9.2	20.9
WBGene00226268	0.0	2.3	0.0	4.6	0.0	1.8	2.3
WBGene00226269	72.9	63.7	51.7	66.3	67.8	55.3	58.8
WBGene00226270	23.3	16.6	14.7	30.8	18.7	21.9	14.0
WBGene00226271	104.3	103.9	112.6	116.7	137.8	143.8	112.7
WBGene00226272	65.2	85.9	48.3	54.4	45.7	80.5	74.9
WBGene00226273	6.1	9.4	6.2	7.0	4.2	4.2	4.4
WBGene00226274	10.8	14.0	18.4	14.9	15.7	6.7	19.7
WBGene00226275	11.9	41.6	39.3	45.5	28.6	36.6	46.7
WBGene00226276	93.6	62.7	53.3	86.3	47.2	50.1	48.5
WBGene00226277	38.5	44.9	55.8	40.1	45.9	32.2	42.4
WBGene00226278	34.5	35.6	25.8	18.5	12.3	16.4	31.5
WBGene00226279	45.2	41.5	31.8	28.9	22.2	28.8	28.4
WBGene00226282	27.8	24.8	37.0	18.4	18.8	21.3	31.3
WBGene00226283	70.3	54.2	51.0	71.5	50.8	52.9	56.3
WBGene00226284	12.3	18.9	9.1	15.3	9.0	8.2	11.6
WBGene00226285	160.5	130.0	147.8	114.6	138.0	159.8	141.9
WBGene00226286	37.8	33.8	27.3	44.1	41.4	31.6	19.8
WBGene00226287	103.8	80.7	76.2	52.0	53.0	73.0	69.5
WBGene00226289	100.5	98.6	81.0	96.4	73.1	97.9	89.7
WBGene00226290	61.5	84.2	73.1	98.1	95.1	82.0	66.6
WBGene00226291	4.1	6.9	2.0	4.5	3.3	3.6	5.1
WBGene00226292	124.8	65.8	71.7	59.1	68.0	62.2	76.6
WBGene00226293	22.9	19.9	10.2	15.5	11.8	14.2	13.5
WBGene00226294	5.8	6.7	5.6	9.0	2.1	6.9	8.8
WBGene00226295	75.5	93.5	78.9	55.5	44.5	43.9	58.8
WBGene00226296	18.5	25.7	18.6	8.6	4.1	16.1	14.6
WBGene00226297	9.0	20.0	20.9	16.2	19.8	20.0	20.1
WBGene00226298	28.9	13.6	13.2	10.8	10.6	9.7	16.8
WBGene00226299	4.4	4.2	2.5	0.6	3.2	0.0	0.0
WBGene00226300	1.1	1.9	1.1	2.4	0.0	1.0	1.3
WBGene00226301	77.8	77.7	67.3	100.7	78.8	112.5	95.2
WBGene00226303	55.5	51.5	47.2	49.2	33.3	40.7	44.5
WBGene00226304	31.5	46.7	28.5	34.9	23.8	38.9	20.0
WBGene00226305	14.7	18.9	16.1	20.4	12.3	18.5	21.2
WBGene00226306	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226307	135.5	159.5	156.7	131.8	115.8	165.5	95.4
WBGene00226308	838.4	677.2	774.9	622.7	769.6	798.6	751.2
WBGene00226309	42.1	50.1	26.0	26.3	40.0	30.5	38.6
WBGene00226310	51.1	78.6	57.5	60.7	68.1	59.5	51.6
WBGene00226312	89.6	83.7	64.4	90.3	61.7	63.0	77.3
WBGene00226313	28.1	35.6	30.9	33.3	29.1	31.3	38.9
WBGene00226314	13.6	12.4	16.9	12.6	12.2	13.6	12.4
WBGene00226315	69.8	48.8	44.2	44.9	37.0	35.4	45.4
WBGene00226316	22.2	20.0	18.7	7.8	13.2	12.1	17.2
WBGene00226317	131.5	138.0	129.3	109.4	148.8	111.2	142.7
WBGene00226318	15.4	35.0	26.5	44.6	49.4	38.8	47.7
WBGene00226319	27.2	22.0	17.6	22.4	14.8	11.1	11.7
WBGene00226320	8.7	14.7	10.0	13.1	12.9	6.1	13.9
WBGene00226321	29.6	52.1	30.9	33.2	19.2	29.6	31.4
WBGene00226322	901.9	1069.2	972.9	1028.1	975.1	1022.0	1185.2
WBGene00226323	14.8	35.9	19.7	42.9	21.5	45.9	12.5
WBGene00226324	1.7	1.7	0.9	0.9	1.0	2.0	0.9
WBGene00226325	16.7	22.3	18.7	12.2	13.3	6.3	27.6
WBGene00226327	18.6	26.4	21.5	19.6	13.8	27.8	18.1
WBGene00226328	16.1	20.7	14.1	14.3	14.3	15.3	17.7
WBGene00226330	70.6	102.1	91.7	102.0	47.8	105.4	80.2
WBGene00226332	4.4	6.1	3.3	3.8	3.8	2.4	3.6
WBGene00226333	16.6	40.8	25.4	37.4	31.3	34.7	23.4
WBGene00226334	26.2	42.7	28.5	21.7	25.4	25.7	24.3
WBGene00226335	11.5	20.0	13.9	19.7	11.4	8.7	15.8
WBGene00226336	11.0	10.2	8.8	4.5	8.0	4.2	5.3
WBGene00226337	90.8	28.6	21.0	20.8	10.1	15.1	14.9
WBGene00226338	19.8	6.5	9.2	7.4	14.9	12.4	18.0
WBGene00226341	38.0	36.2	52.2	46.9	23.8	28.2	31.9
WBGene00226342	40.9	40.4	30.0	37.3	23.7	21.9	32.0
WBGene00226344	11.3	11.6	9.6	16.8	10.5	7.4	12.2
WBGene00226345	13.5	14.4	10.9	8.2	7.1	6.8	11.0
WBGene00226347	15.0	14.2	15.3	17.2	11.6	8.5	11.6
WBGene00226348	5.5	4.4	1.9	2.4	2.1	6.3	8.0
WBGene00226349	201.5	258.6	253.2	321.9	274.8	279.2	207.7
WBGene00226350	5.6	23.1	16.7	11.0	6.8	10.1	15.5
WBGene00226351	135.8	77.6	63.1	66.9	56.6	76.2	60.5
WBGene00226352	32.0	49.9	67.4	38.8	70.9	79.8	57.7
WBGene00226353	5.5	2.4	5.1	5.7	5.4	5.0	0.0
WBGene00226354	414.2	452.3	479.1	559.7	565.6	561.1	462.5
WBGene00226355	3.5	0.0	3.2	2.0	6.9	6.3	3.7
WBGene00226356	137.1	87.2	71.0	68.1	50.7	104.0	62.8
WBGene00226357	14.9	21.5	15.0	11.7	7.4	9.6	14.2
WBGene00226358	11.2	22.9	17.1	32.5	21.2	15.9	16.1
WBGene00226359	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226360	5.7	3.6	4.8	3.3	0.0	5.2	5.1
WBGene00226361	36.5	49.4	41.1	62.7	54.4	45.9	38.7
WBGene00226363	43.8	58.2	33.5	27.2	28.9	41.2	48.9
WBGene00226365	115.1	101.8	88.6	121.7	100.0	88.7	112.6
WBGene00226367	57.4	43.5	48.4	29.7	21.4	20.7	47.5
WBGene00226368	79.9	70.2	90.1	88.3	87.7	85.0	98.8
WBGene00226369	10.7	27.7	10.9	21.6	12.6	12.6	22.4
WBGene00226370	4.9	7.5	5.9	3.9	4.2	2.1	7.8
WBGene00226371	77.4	54.0	53.9	65.0	53.4	57.1	62.3
WBGene00226372	538.0	420.2	409.4	427.3	472.0	385.8	414.2
WBGene00226373	4.5	5.1	8.4	4.7	6.3	6.2	6.2
WBGene00226374	33.0	42.4	28.3	26.7	24.2	30.6	30.1
WBGene00226375	22.9	33.6	21.3	15.5	16.7	8.3	36.1
WBGene00226376	193.6	175.1	132.8	165.7	159.8	152.7	112.0
WBGene00226377	31.7	24.3	30.0	12.3	19.6	9.4	33.9
WBGene00226379	22.1	22.1	10.9	17.6	9.8	32.7	3.6
WBGene00226380	15.6	20.4	14.5	13.7	13.0	16.4	14.2
WBGene00226381	8.3	7.1	7.5	5.6	9.7	7.5	3.2
WBGene00226382	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226383	0.7	2.4	2.2	2.4	0.9	0.5	2.7
WBGene00226384	26.2	36.2	26.6	29.8	21.8	20.2	39.8
WBGene00226385	619.5	517.8	541.3	628.7	553.1	486.1	531.9
WBGene00226386	113.5	89.8	74.0	82.2	78.6	69.5	71.8
WBGene00226387	347.6	302.8	296.6	247.6	289.0	212.4	233.0
WBGene00226388	71.6	104.5	92.2	67.6	118.2	109.6	90.2
WBGene00226389	98.5	98.9	71.5	79.6	44.4	77.9	73.4
WBGene00226390	2.2	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226391	257.1	208.2	219.1	192.3	277.6	250.2	181.7
WBGene00226392	8.3	8.0	6.0	9.3	2.8	2.8	6.4
WBGene00226393	25.1	30.7	33.8	36.5	30.2	32.5	37.1
WBGene00226394	178.6	161.1	136.3	140.3	132.7	164.2	183.6
WBGene00226395	147.5	205.8	190.7	215.1	171.4	227.7	172.2
WBGene00226396	48.6	66.4	64.3	39.4	53.1	50.6	53.5
WBGene00226397	18.1	3.0	10.0	8.4	9.4	9.8	9.6
WBGene00226398	372.7	293.1	324.3	366.3	347.7	340.5	345.8
WBGene00226399	25.0	31.0	26.3	14.9	14.0	14.0	22.1
WBGene00226400	328.3	508.9	539.2	468.4	506.9	475.2	552.5
WBGene00226401	38.1	25.4	23.8	17.3	18.3	24.8	24.0
WBGene00226402	72.8	84.4	69.2	74.8	76.3	79.4	67.6
WBGene00226403	1.8	7.0	1.9	3.9	0.0	3.1	0.0
WBGene00226404	37.6	45.8	53.1	45.3	43.9	44.5	37.9
WBGene00226405	53.9	75.3	72.6	61.8	62.3	89.4	65.4
WBGene00226406	93.3	83.7	86.7	87.8	72.5	69.6	59.2
WBGene00226407	115.1	119.0	139.7	116.8	116.5	120.2	134.6
WBGene00226408	76.0	49.8	35.8	58.8	32.1	36.7	38.8
WBGene00226409	13.0	14.8	16.1	8.2	6.8	8.8	12.9
WBGene00226410	24.6	10.8	3.3	17.8	9.9	19.0	12.5
WBGene00226411	1.2	5.2	3.6	2.3	1.6	1.3	1.4
WBGene00226412	18.6	21.5	20.1	25.8	17.9	19.8	20.0
WBGene00226414	57.8	54.9	57.6	71.0	33.2	42.7	46.6
WBGene00226415	9.7	3.0	7.8	4.0	13.4	14.9	15.8
WBGene00226416	37.2	33.0	9.9	30.5	8.9	29.5	16.9
WBGene00226417	796.2	801.2	750.2	719.5	799.9	738.1	770.9
WBGene00226418	142.2	138.5	113.0	124.6	135.2	140.5	113.1
WBGene00226419	32.1	32.8	23.3	29.3	28.1	29.7	29.7
WBGene00226421	5.9	3.0	0.0	0.8	0.0	2.6	0.0
WBGene00226422	4.6	4.5	3.7	3.8	2.2	10.8	5.1
WBGene00226423	133.5	131.9	120.0	127.7	116.5	139.2	143.1
WBGene00226424	27.2	41.0	35.7	30.6	17.5	18.8	31.6
WBGene00226426	269.5	262.3	255.9	219.0	245.6	187.4	283.4
WBGene00226427	10.9	14.2	10.2	6.4	5.5	5.7	6.7
WBGene00226428	14.0	12.5	13.5	7.3	5.7	3.2	9.6
WBGene00226429	48.6	53.6	48.6	38.7	30.2	25.3	45.2
WBGene00226430	139.5	122.4	110.8	111.8	119.4	99.8	103.5
WBGene00226431	20.5	19.6	14.5	11.5	7.6	8.8	11.2
WBGene00226432	1.2	2.5	0.0	2.3	0.0	2.0	2.4
WBGene00226433	197.3	253.6	212.2	238.2	236.8	188.7	249.9
WBGene00226434	52.0	58.2	75.7	33.5	40.4	53.8	71.3
WBGene00226435	38.5	44.3	33.5	29.7	28.6	25.0	46.2
WBGene00226436	82.3	80.5	67.0	80.0	49.6	60.3	74.3
WBGene00226437	170.4	132.7	104.8	105.8	102.2	148.0	108.1
WBGene00226439	115.9	108.7	92.6	102.0	100.3	80.1	80.1
WBGene00226440	431.9	520.5	349.5	379.7	460.7	422.6	454.5
WBGene00226441	26.1	36.1	31.7	36.3	19.7	25.1	42.4
WBGene00226442	157.1	165.4	167.9	116.6	179.6	183.6	147.6
WBGene00226443	48.0	59.0	52.4	45.5	35.0	36.6	43.3
WBGene00226444	233.5	201.9	200.8	216.6	252.8	208.2	204.8
WBGene00226445	269.0	215.1	178.5	190.6	176.2	211.7	168.2
WBGene00226446	112.2	99.4	98.1	107.7	108.6	77.3	102.4
WBGene00226447	36.7	47.4	37.7	39.8	46.6	24.3	45.8
WBGene00226448	161.8	96.0	93.4	109.5	113.5	109.2	96.4
WBGene00226449	47.4	71.4	57.6	49.1	41.2	42.6	54.4
WBGene00226451	39.8	15.9	15.9	18.6	11.7	16.5	14.6
WBGene00226452	158.3	135.5	115.9	87.8	153.8	165.4	118.8
WBGene00226453	38.4	56.0	39.8	57.7	72.6	46.9	43.1
WBGene00226454	3.9	6.6	4.1	5.0	7.7	5.9	1.7
WBGene00226455	0.4	1.7	0.0	0.0	1.5	1.4	0.0
WBGene00226456	10.5	0.0	0.0	0.0	14.8	0.0	0.0
WBGene00226457	9.8	10.0	6.4	7.7	4.9	9.5	6.2
WBGene00226458	21.5	17.1	15.3	18.6	18.3	18.4	19.5
WBGene00226459	231.4	216.0	181.9	184.9	177.8	199.0	175.1
WBGene00226460	163.7	179.8	173.5	170.3	136.6	191.0	138.0
WBGene00226461	16.7	10.5	16.1	20.8	18.6	15.3	17.6
WBGene00226462	57.1	68.5	51.7	80.5	49.5	47.8	53.0
WBGene00226463	122.3	126.3	116.5	138.2	114.7	111.6	132.0
WBGene00226464	32.4	24.4	23.5	29.3	25.4	17.6	33.5
WBGene00226465	54.3	96.2	95.0	76.4	67.3	69.4	72.5
WBGene00226467	53.6	48.6	38.2	41.2	36.7	73.2	30.5
WBGene00226468	74.2	58.3	50.7	66.4	46.8	51.2	51.7
WBGene00226469	15.0	10.5	12.0	12.9	13.5	2.8	6.6
WBGene00226471	116.8	120.7	91.6	80.0	99.6	96.5	84.2
WBGene00226472	58.0	80.2	86.2	74.3	73.5	73.1	73.0
WBGene00226473	51.6	77.7	51.1	55.1	51.5	29.4	62.7
WBGene00226474	50.4	89.9	90.3	85.2	56.0	100.9	111.4
WBGene00226475	181.0	179.6	123.8	141.9	153.3	117.4	187.6
WBGene00226476	78.3	74.7	33.6	68.9	41.7	53.9	49.8
WBGene00226477	6.8	18.7	19.2	15.6	20.4	8.3	13.6
WBGene00226478	111.9	103.3	69.9	70.3	75.3	92.9	59.2
WBGene00226479	75.0	102.3	92.1	99.3	75.5	64.3	129.9
WBGene00226480	1.6	1.8	1.6	1.2	1.2	2.1	1.3
WBGene00226481	3.2	4.0	4.0	4.4	1.2	1.3	4.6
WBGene00226482	30.3	32.8	21.3	29.0	23.1	30.2	24.9
WBGene00226484	86.8	101.6	97.3	107.3	84.6	93.8	78.9
WBGene00226485	21.6	20.6	15.8	21.9	10.9	7.3	17.1
WBGene00226486	35.6	32.3	47.5	36.9	44.2	43.6	39.1
WBGene00226487	124.3	107.5	85.0	130.0	103.0	93.5	92.0
WBGene00226488	1.0	0.9	0.9	1.4	0.9	1.1	0.5
WBGene00226489	31.7	29.9	30.2	25.3	16.2	23.7	33.5
WBGene00226490	12.4	10.4	12.6	16.8	6.2	10.3	7.9
WBGene00226491	217.2	238.6	205.9	281.7	211.4	232.4	274.4
WBGene00226492	104.0	94.7	86.8	59.8	54.3	71.7	68.3
WBGene00226493	17.2	29.7	23.0	29.3	21.7	28.0	20.5
WBGene00226495	1.6	3.8	3.6	5.3	4.4	3.1	3.0
WBGene00226496	1151.0	1209.2	1125.9	1423.7	1075.8	1212.1	1156.4
WBGene00226497	70.5	88.3	75.5	53.1	59.5	100.7	80.6
WBGene00226498	3.8	2.5	0.0	6.6	0.0	6.8	4.0
WBGene00226499	115.4	125.9	114.5	88.5	106.3	122.8	129.6
WBGene00226500	767.1	634.1	618.7	681.2	663.3	635.4	658.3
WBGene00226501	423.6	398.6	376.1	355.0	614.8	511.3	504.1
WBGene00226502	193.6	274.2	234.5	216.0	222.6	231.8	292.9
WBGene00226503	147.7	128.4	106.5	94.8	102.2	104.5	114.0
WBGene00226504	48.2	55.5	56.0	47.5	39.9	38.1	60.7
WBGene00226507	22.1	19.9	19.0	47.5	24.9	17.2	16.9
WBGene00226508	128.3	146.3	160.2	131.0	186.3	141.2	181.5
WBGene00226509	105.1	104.0	77.6	90.3	78.9	88.6	86.1
WBGene00226510	27.3	37.9	28.1	48.9	49.1	31.1	32.0
WBGene00226511	1258.8	1876.3	2034.8	2122.7	2220.3	2029.0	2057.1
WBGene00226512	36.2	42.9	29.9	44.7	24.7	29.8	32.6
WBGene00226513	252.7	284.7	279.4	232.4	250.7	260.1	256.2
WBGene00226514	81.5	99.0	119.2	146.8	141.7	141.4	123.2
WBGene00226515	53.8	60.4	77.1	88.6	45.3	56.2	59.5
WBGene00226516	100.6	118.9	104.8	76.4	99.9	109.3	81.2
WBGene00226517	236.6	160.2	140.9	117.9	128.8	168.4	124.8
WBGene00226518	46.5	27.2	14.7	27.2	26.8	36.3	28.8
WBGene00226519	14.8	13.9	11.8	12.3	8.3	11.2	9.7
WBGene00226520	83.6	95.7	59.7	53.0	42.4	59.3	54.0
WBGene00226521	84.9	60.7	63.9	70.5	45.6	53.5	39.4
WBGene00226522	39.7	36.2	20.7	28.4	26.7	14.8	24.6
WBGene00226523	18.6	13.0	14.3	23.1	8.4	20.6	14.6
WBGene00226524	153.4	79.7	126.5	104.9	64.6	93.2	90.8
WBGene00226525	10.8	9.5	12.0	15.6	8.5	11.1	8.2
WBGene00226527	42.2	91.7	79.4	69.2	78.2	101.3	84.0
WBGene00226528	390.7	431.6	434.3	408.8	448.9	406.0	506.0
WBGene00226529	17.3	13.9	12.9	11.1	5.1	10.3	9.2
WBGene00226530	235.8	158.6	193.4	215.4	183.5	145.1	172.1
WBGene00226531	35.5	27.3	21.2	19.8	18.3	16.3	26.0
WBGene00226532	269.4	214.7	238.0	252.0	219.1	253.0	238.2
WBGene00226533	71.5	84.9	59.5	65.5	49.0	54.5	61.7
WBGene00226534	36.5	35.3	30.2	27.6	30.3	19.3	38.0
WBGene00226535	84.7	59.4	45.1	53.5	46.1	27.3	38.6
WBGene00226536	317.6	349.3	282.5	374.3	301.9	335.4	363.2
WBGene00226537	0.3	0.0	1.0	0.0	0.5	0.0	0.0
WBGene00226539	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00226541	0.9	0.9	0.2	0.9	0.0	0.0	0.0
WBGene00226542	11.2	12.8	6.4	6.1	8.3	6.4	12.9
WBGene00226543	1096.6	1123.3	1071.6	1235.1	1088.6	1219.7	1267.4
WBGene00226544	179.6	163.8	149.0	152.0	170.1	154.5	155.2
WBGene00226546	20.3	25.7	23.5	24.9	18.2	13.0	21.4
WBGene00226547	30.6	37.1	33.2	23.1	30.7	26.8	35.0
WBGene00226548	19.8	21.9	21.4	19.5	19.4	29.5	19.8
WBGene00226549	31.6	36.2	23.1	29.3	24.5	35.4	54.6
WBGene00226550	64.9	68.5	71.8	53.7	83.1	68.2	78.4
WBGene00226551	87.7	85.2	71.0	74.5	69.0	117.1	65.0
WBGene00226552	14.2	6.7	7.9	13.3	7.4	11.8	4.5
WBGene00226553	28.4	23.2	21.5	32.2	28.4	32.0	36.2
WBGene00226554	1.6	3.2	1.7	0.9	2.8	2.7	2.8
WBGene00226555	156.6	174.6	137.3	146.4	101.0	141.8	75.6
WBGene00226556	34.7	17.6	17.9	25.4	15.0	16.1	19.9
WBGene00226557	9.0	16.5	6.2	14.4	14.2	11.2	12.2
WBGene00226558	1.2	2.0	1.2	2.8	0.7	2.0	1.0
WBGene00226559	28.2	44.5	29.1	38.1	75.0	31.3	40.0
WBGene00226560	96.4	109.4	116.0	125.1	125.5	136.4	144.3
WBGene00226561	93.8	64.0	54.7	37.7	62.6	53.9	48.4
WBGene00226562	29.5	27.1	31.3	29.2	16.1	22.6	28.1
WBGene00226563	27.0	33.9	20.6	25.6	14.8	22.8	6.7
WBGene00226564	46.8	63.6	54.2	51.6	44.8	41.7	71.9
WBGene00226565	125.4	147.9	130.4	89.9	163.3	175.5	156.1
WBGene00226566	32.3	17.4	13.0	4.7	8.1	6.7	10.9
WBGene00226567	34.6	39.5	30.1	39.9	22.8	30.9	35.3
WBGene00226568	386.7	407.4	421.7	423.7	459.8	396.6	474.8
WBGene00226569	62.4	50.0	58.2	42.6	38.7	41.0	50.3
WBGene00226570	40.5	40.9	44.0	25.1	30.0	52.1	39.8
WBGene00226571	89.3	108.3	116.2	115.2	116.3	91.3	98.7
WBGene00226572	66.8	88.1	91.9	93.1	93.2	64.1	119.7
WBGene00226573	101.4	96.1	94.9	112.5	95.8	109.8	79.8
WBGene00226574	47.2	31.3	19.5	16.4	10.4	10.2	12.4
WBGene00226575	0.3	0.0	0.3	0.0	1.0	0.9	0.0
WBGene00226577	30.3	30.9	41.1	40.0	40.6	40.1	35.0
WBGene00226578	8.8	15.3	9.2	12.5	5.0	9.2	12.7
WBGene00226579	199.9	237.6	255.0	242.2	245.4	298.5	289.6
WBGene00226580	448.2	349.7	377.9	405.5	325.8	298.2	334.0
WBGene00226581	47.8	93.5	83.1	67.8	99.7	82.1	108.4
WBGene00226582	57.3	48.2	44.9	51.1	38.8	48.0	36.9
WBGene00226583	112.0	143.6	104.8	98.8	120.0	167.2	135.9
WBGene00226584	37.8	41.2	23.4	24.4	10.7	18.3	34.5
WBGene00226585	223.9	128.9	168.9	214.1	131.0	108.2	122.5
WBGene00226586	15.6	16.0	18.1	9.1	8.6	14.1	13.8
WBGene00226587	7.7	7.8	6.6	3.9	6.4	4.8	5.5
WBGene00226588	440.4	634.5	660.2	498.3	622.4	520.5	599.4
WBGene00226589	54.5	74.5	86.1	67.1	115.8	89.7	84.0
WBGene00226590	15.0	28.0	18.0	25.5	23.8	12.2	12.8
WBGene00226592	87.5	60.1	67.6	75.3	58.7	58.8	56.5
WBGene00226593	2.2	12.6	3.4	8.2	3.9	7.4	4.7
WBGene00226594	20.7	32.1	50.2	54.2	50.8	67.2	72.7
WBGene00226595	114.8	100.0	87.8	67.0	71.1	85.1	91.0
WBGene00226596	2.7	3.2	2.0	1.9	0.0	3.9	4.4
WBGene00226598	0.0	0.8	0.0	0.0	0.0	0.0	3.5
WBGene00226599	41.3	44.2	39.9	35.8	43.3	28.8	40.6
WBGene00226600	34.3	37.7	36.9	26.1	25.3	33.1	22.8
WBGene00226602	90.9	90.1	100.4	83.4	103.0	98.6	131.2
WBGene00226603	0.9	1.5	0.5	2.6	3.5	0.0	0.0
WBGene00226604	101.2	98.9	70.5	129.5	99.6	90.4	115.8
WBGene00226605	76.3	95.0	96.9	73.9	80.8	80.6	82.4
WBGene00226606	33.1	49.2	50.7	53.8	48.9	20.5	54.7
WBGene00226608	24.1	18.6	23.5	33.8	13.9	29.4	37.0
WBGene00226609	37.4	36.6	34.7	38.9	22.3	23.9	27.3
WBGene00226610	36.9	19.0	3.8	8.1	4.6	10.8	6.2
WBGene00226611	1.7	0.0	0.9	0.0	1.6	0.0	0.0
WBGene00226613	62.2	60.6	62.2	48.3	39.6	69.0	57.4
WBGene00226614	27.1	36.4	23.3	17.7	22.6	24.9	27.1
WBGene00226615	21.2	30.5	21.4	24.0	12.3	18.1	21.0
WBGene00226616	140.0	111.6	128.0	113.9	112.3	90.3	112.1
WBGene00226617	152.2	106.5	96.6	113.9	104.8	104.5	95.7
