Run	Condition	developmental_stage	drug_treatment	sex	timepoint
SRR5609096	adult, Control (DMSO), male, 1 day	adult	Control (DMSO)	male	1 day
SRR5609097	adult, Control (DMSO), male, 1 day	adult	Control (DMSO)	male	1 day
SRR5609098	adult, Control (DMSO), male, 7 days	adult	Control (DMSO)	male	7 days
SRR5609099	adult, Control (DMSO), male, 7 days	adult	Control (DMSO)	male	7 days
SRR5609100	adult, Control (DMSO), male, 7 days	adult	Control (DMSO)	male	7 days
SRR5609106	adult, Diethylcarbamazine, female, 1 day	adult	Diethylcarbamazine	female	1 day
SRR5609107	adult, Diethylcarbamazine, female, 1 day	adult	Diethylcarbamazine	female	1 day
SRR5609108	adult, Diethylcarbamazine, female, 1 day	adult	Diethylcarbamazine	female	1 day
SRR5609109	adult, Diethylcarbamazine, female, 7 days	adult	Diethylcarbamazine	female	7 days
SRR5609110	adult, Diethylcarbamazine, female, 7 days	adult	Diethylcarbamazine	female	7 days
SRR5609111	adult, Diethylcarbamazine, female, 7 days	adult	Diethylcarbamazine	female	7 days
SRR5609112	adult, Diethylcarbamazine, male, 1 day	adult	Diethylcarbamazine	male	1 day
SRR5609113	adult, Diethylcarbamazine, male, 1 day	adult	Diethylcarbamazine	male	1 day
SRR5609114	adult, Diethylcarbamazine, male, 1 day	adult	Diethylcarbamazine	male	1 day
SRR5609115	adult, Diethylcarbamazine, male, 7 days	adult	Diethylcarbamazine	male	7 days
SRR5609116	adult, Diethylcarbamazine, male, 7 days	adult	Diethylcarbamazine	male	7 days
SRR5609117	adult, Diethylcarbamazine, male, 7 days	adult	Diethylcarbamazine	male	7 days
SRR5609123	adult, Ivermectin, female, 1 day	adult	Ivermectin	female	1 day
SRR5609124	adult, Ivermectin, female, 1 day	adult	Ivermectin	female	1 day
SRR5609125	adult, Ivermectin, female, 1 day	adult	Ivermectin	female	1 day
SRR5609126	adult, Ivermectin, female, 7 days	adult	Ivermectin	female	7 days
SRR5609127	adult, Ivermectin, female, 7 days	adult	Ivermectin	female	7 days
SRR5609128	adult, Ivermectin, female, 7 days	adult	Ivermectin	female	7 days
SRR5609129	adult, Ivermectin, male, 1 day	adult	Ivermectin	male	1 day
SRR5609130	adult, Ivermectin, male, 1 day	adult	Ivermectin	male	1 day
SRR5609131	adult, Ivermectin, male, 1 day	adult	Ivermectin	male	1 day
SRR5609132	adult, Ivermectin, male, 7 days	adult	Ivermectin	male	7 days
SRR5609133	adult, Ivermectin, male, 7 days	adult	Ivermectin	male	7 days
SRR5609134	adult, Ivermectin, male, 7 days	adult	Ivermectin	male	7 days
