Run	Condition	description_title	disease	dosage	drug	genotype	group	phenotype	strain	age_at_rna_isolation	buffer	collected_by	developmental_stage_at_treatment_initiation	sex	source_name
SRR7811669	SRR7811669	Nac_4	mitochondrial disease		Nacetylcysteine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Nac	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811670	SRR7811670	Cys100nM_1	mitochondrial disease	100nM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100nM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811671	SRR7811671	Cys100nM_2	mitochondrial disease	100nM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100nM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811673	SRR7811673	Cys100nM_4	mitochondrial disease	100nM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100nM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811674	SRR7811674	Cys1uM_1	mitochondrial disease	1uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys1uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811675	SRR7811675	Cys1uM_2	mitochondrial disease	1uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys1uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811676	SRR7811676	Cys1uM_3	mitochondrial disease	1uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys1uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811677	SRR7811677	Cys1uM_4	mitochondrial disease	1uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys1uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811678	SRR7811678	Cys10uM_1	mitochondrial disease	10uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys10uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811679	SRR7811679	Cys10uM_2	mitochondrial disease	10uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys10uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811680	SRR7811680	Cys10uM_3	mitochondrial disease	10uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys10uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811681	SRR7811681	Cys10uM_4	mitochondrial disease	10uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys10uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811682	SRR7811682	Cys100uM_1	mitochondrial disease	100uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811683	SRR7811683	Cys100uM_2	mitochondrial disease	100uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811684	SRR7811684	Cys100uM_3	mitochondrial disease	100uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
SRR7811685	SRR7811685	Cys100uM_4	mitochondrial disease	100uM	Cysteamine	gas1;homozygous p.R290K in K09A9.5 (NDUFS2 homologue)	Cys100uM	Complex I deficient	gas-1(fc21)	24 hour old young adult	S. basal (water soluble)	Erzsebet Polyak, PhD	1st day young adult	hermaphrodite	Whole worms
