Run	Condition	developmental_stage	genotype	source_name	title	treatment	molecule_subtype	organism_part
SRR11195086	SRR11195086	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_early_embryos_RNA-seq	CSR-1_degron_control_early_embryos_rep1_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195087	SRR11195087	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_early_embryos_RNA-seq	CSR-1_degron_control_early_embryos_rep2_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195088	SRR11195088	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_early_embryos_rep3_RNA-seq	CSR-1_degron_control_early_embryos_rep3_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195089	SRR11195089	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_late_embryos_RNA-seq	CSR-1_degron_late_embryos_rep1_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195090	SRR11195090	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_late_embryos_RNA-seq	CSR-1_degron_late_embryos_rep2_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195091	SRR11195091	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_late_embryos_rep3_RNA-seq	CSR-1_degron_late_embryos_rep3_RNA-seq	Auxin (500µM) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195092	SRR11195092	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_late_embryos_RNA-seq	CSR-1_degron_control_late_embryos_rep1_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195093	SRR11195093	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_late_embryos_RNA-seq	CSR-1_degron_control_late_embryos_rep2_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195094	SRR11195094	late embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1])	CSR-1_degron_control_late_embryos_rep3_RNA-seq	CSR-1_degron_control_late_embryos_rep3_RNA-seq	Ethanol (auxin control) from beginning of oogenesis	total RNA, rRNA-depleted	whole embryo
SRR11195095	SRR11195095	early embryos	N2	N2_embryos_RNA-seq	N2_embryos_rep1_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195096	SRR11195096	early embryos	N2	N2_embryos_RNA-seq	N2_embryos_rep2_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195097	SRR11195097	early embryos	N2	N2_embryos_rep3_RNA-seq	N2_embryos_rep3_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195098	SRR11195098	early embryos	Mex-5P::mCherry::his-11::tbb-2 3'UTR::tbb-2 3'UTR	his11_tbb2_3UTR_early_embryos_RNA-seq	his11_tbb2_3UTR_early_embryos_rep1_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195099	SRR11195099	early embryos	Mex-5P::mCherry::his-11::tbb-2 3'UTR::tbb-2 3'UTR	his11_tbb2_3UTR_early_embryos_RNA-seq	his11_tbb2_3UTR_early_embryos_rep2_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195100	SRR11195100	early embryos	Mex-5P::mCherry::his-11::egg-6 3'UTR::tbb-2 3'UTR	his11_egg6_3UTR_early_embryos_RNA-seq	his11_egg6_3UTR_early_embryos_rep1_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR11195101	SRR11195101	early embryos	Mex-5P::mCherry::his-11::egg-6 3'UTR::tbb-2 3'UTR	his11_egg6_3UTR_early_embryos_RNA-seq	his11_egg6_3UTR_early_embryos_rep2_RNA-seq		total RNA, rRNA-depleted	whole embryo
SRR12779710	SRR12779710	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1]); gcSi2 [mex-5p::csr1::GFP::tbb-2 3'UTR + Cbr-unc-119(+)] IV	nematodes	CSR-1_degron_CSR-1_rescue_DDH_embryos_rep1_RNA-seq	Auxin (500microM) from beginning of oogenesis		whole embryo
SRR12779711	SRR12779711	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1]); gcSi2 [mex-5p::csr1::GFP::tbb-2 3'UTR + Cbr-unc-119(+)] IV	nematodes	CSR-1_degron_CSR-1_rescue_DDH_embryos_rep2_RNA-seq	Auxin (500microM) from beginning of oogenesis		whole embryo
SRR12779712	SRR12779712	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1]); gcSi1 [mex-5p::csr1[D769A]::GFP::tbb-2 3'UTR + Cbr-unc-119(+)] IV	nematodes	CSR-1_degron_CSR-1_rescue_ADH_embryos_rep1_RNA-seq	Auxin (500microM) from beginning of oogenesis		whole embryo
SRR12779713	SRR12779713	early embryos	ieSi64 [gld-1p::TIR1::mRuby::gld-1 3'UTR + Cbr-unc-119(+)] II; csr-1(gc029[degron::mCherry::3xflag::ha::csr-1]); gcSi1 [mex-5p::csr1[D769A]::GFP::tbb-2 3'UTR + Cbr-unc-119(+)] IV	nematodes	CSR-1_degron_CSR-1_rescue_ADH_embryos_rep2_RNA-seq	Auxin (500microM) from beginning of oogenesis		whole embryo
