# Differential expression analysis for study SRP0666103 contrasts  across:ivm concentration. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !24 h vs Ivermectin 100nM, 24 h: 24 h - low replicates (2). Ivermectin 100nM, 24 h - low replicates (2)
# !48 h vs Ivermectin 100nM, 48 h: 48 h - low replicates (2). Ivermectin 100nM, 48 h - low replicates (2)
# !72 h vs Ivermectin 100nM, 72 h: 72 h - low replicates (2). Ivermectin 100nM, 72 h - low replicates (2)
# No differentially expressed genes found in contrast: !24 h vs Ivermectin 100nM, 24 h
# No differentially expressed genes found in contrast: !72 h vs Ivermectin 100nM, 72 h
	!48 h vs Ivermectin 100nM, 48 h
WBGene00233197	1.02
WBGene00233566	1.28
WBGene00233792	1.18
WBGene00233911	1.38
WBGene00233912	1.22
WBGene00233981	1.29
WBGene00233988	0.89
WBGene00234069	1.08
WBGene00234159	1.12
WBGene00234160	1.06
WBGene00234162	1.12
WBGene00234166	1.18
WBGene00234170	1.06
WBGene00234173	1.25
WBGene00234174	1.21
WBGene00234261	0.87
WBGene00234303	1.22
WBGene00234317	1.09
WBGene00234320	1.31
WBGene00234321	1.10
WBGene00234324	1.17
WBGene00234335	1.31
WBGene00234337	1.30
WBGene00234338	1.13
WBGene00234341	1.87
WBGene00234342	1.24
WBGene00234343	1.46
WBGene00234345	1.49
WBGene00234574	1.04
WBGene00234992	1.31
WBGene00235014	1.25
WBGene00235047	1.37
WBGene00235061	1.52
WBGene00235067	1.16
WBGene00235412	1.02
WBGene00235502	1.48
WBGene00255379	1.25
WBGene00255513	1.05
WBGene00255532	1.08
WBGene00268570	1.12
WBGene00268573	1.29
WBGene00268657	1.13
WBGene00268818	1.22
WBGene00269329	1.24
