Run	Sample	Condition	age	host_infection	sex
ERR1328187	SAMEA3898078	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328211	SAMEA3898078	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328148	SAMEA3898109	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328171	SAMEA3898109	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328224	SAMEA3898114	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328247	SAMEA3898114	35 days post infection, single sex, female	35 days post infection	single sex	female
ERR1328188	SAMEA3898079	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328212	SAMEA3898079	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328149	SAMEA3898110	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328172	SAMEA3898110	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328150	SAMEA3898111	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328173	SAMEA3898111	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328225	SAMEA3898115	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328248	SAMEA3898115	35 days post infection, single sex, male	35 days post infection	single sex	male
ERR1328194	SAMEA3898085	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328218	SAMEA3898085	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328133	SAMEA3898094	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328156	SAMEA3898094	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328232	SAMEA3898122	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328255	SAMEA3898122	38 days post infection, mixed sex, female	38 days post infection	mixed sex	female
ERR1328195	SAMEA3898086	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328219	SAMEA3898086	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328134	SAMEA3898095	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328157	SAMEA3898095	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328233	SAMEA3898123	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328256	SAMEA3898123	38 days post infection, mixed sex, male	38 days post infection	mixed sex	male
ERR1328191	SAMEA3898082	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328215	SAMEA3898082	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328130	SAMEA3898091	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328153	SAMEA3898091	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328228	SAMEA3898118	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328251	SAMEA3898118	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328229	SAMEA3898119	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328252	SAMEA3898119	38 days post infection, single sex, female	38 days post infection	single sex	female
ERR1328192	SAMEA3898083	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328216	SAMEA3898083	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328193	SAMEA3898084	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328217	SAMEA3898084	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328131	SAMEA3898092	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328154	SAMEA3898092	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328132	SAMEA3898093	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328155	SAMEA3898093	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328230	SAMEA3898120	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328253	SAMEA3898120	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328231	SAMEA3898121	38 days post infection, single sex, male	38 days post infection	single sex	male
ERR1328254	SAMEA3898121	38 days post infection, single sex, male	38 days post infection	single sex	male
